date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:16:49	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Sep%202020%2002:47:06%20GMT	http://masterpay.in.net/robots.txt		(from )
08:16:49	20055/20055	---M--	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2002:47:06%20GMT	http://masterpay.in.net/	C:/My%20Web%20Sites/masterpay/masterpay.in.net/index.html	(from )
08:16:51	335/335	---M--	200	added ('OK')	image/x-icon	etag:%22b5b99cea51fd61:0%22	http://masterpay.in.net/images/favicon.ico	C:/My%20Web%20Sites/masterpay/masterpay.in.net/images/favicon.ico	(from http://masterpay.in.net/)
08:16:54	20247/20247	---M--	200	added ('OK')	text/css	etag:%2247f47b15a61fd61:0%22	http://masterpay.in.net/js/mainmenu/menu.css	C:/My%20Web%20Sites/masterpay/masterpay.in.net/js/mainmenu/menu.css	(from http://masterpay.in.net/)
08:16:58	115381/115381	---M--	200	added ('OK')	text/css	etag:%22cf93b2c4a51fd61:0%22	http://masterpay.in.net/css/default.css	C:/My%20Web%20Sites/masterpay/masterpay.in.net/css/default.css	(from http://masterpay.in.net/)
08:16:58	21131/21131	---M--	200	added ('OK')	text/css	etag:%223a1dbfc6a51fd61:0%22	http://masterpay.in.net/css/shortcodes.css	C:/My%20Web%20Sites/masterpay/masterpay.in.net/css/shortcodes.css	(from http://masterpay.in.net/)
08:17:00	116120/116120	---M--	200	added ('OK')	text/css	etag:%22aa49915a61fd61:0%22	http://masterpay.in.net/js/bootstrap/bootstrap.min.css	C:/My%20Web%20Sites/masterpay/masterpay.in.net/js/bootstrap/bootstrap.min.css	(from http://masterpay.in.net/)
08:17:00	23739/23739	---M--	200	added ('OK')	text/css	etag:%223f965688a61fd61:0%22	http://masterpay.in.net/css/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/masterpay/masterpay.in.net/css/font-awesome/css/font-awesome.min.css	(from http://masterpay.in.net/)
08:17:02	119519/119519	---M--	200	added ('OK')	text/css	etag:%22cb593ec6a51fd61:0%22	http://masterpay.in.net/css/layouts.css	C:/My%20Web%20Sites/masterpay/masterpay.in.net/css/layouts.css	(from http://masterpay.in.net/)
08:17:04	48294/48294	---M--	200	added ('OK')	text/css	etag:%22d61b81c6a51fd61:0%22	http://masterpay.in.net/css/responsive-leyouts.css	C:/My%20Web%20Sites/masterpay/masterpay.in.net/css/responsive-leyouts.css	(from http://masterpay.in.net/)
08:17:05	57661/57661	---M--	200	added ('OK')	text/css	etag:%22d63195a5a61fd61:0%22	http://masterpay.in.net/js/masterslider/style/masterslider.css	C:/My%20Web%20Sites/masterpay/masterpay.in.net/js/masterslider/style/masterslider.css	(from http://masterpay.in.net/)
08:17:05	11032/11032	---M--	200	added ('OK')	text/css	etag:%223e8c9712a61fd61:0%22	http://masterpay.in.net/css/Simple-Line-Icons-Webfont/simple-line-icons.css	C:/My%20Web%20Sites/masterpay/masterpay.in.net/css/Simple-Line-Icons-Webfont/simple-line-icons.css	(from http://masterpay.in.net/)
08:17:05	7052/7052	---M--	200	added ('OK')	text/css	etag:%22823273ea61fd61:0%22	http://masterpay.in.net/css/et-line-font/et-line-font.css	C:/My%20Web%20Sites/masterpay/masterpay.in.net/css/et-line-font/et-line-font.css	(from http://masterpay.in.net/)
08:17:06	12024/12024	---M--	200	added ('OK')	text/css	etag:%22c6accc17a61fd61:0%22	http://masterpay.in.net/js/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/masterpay/masterpay.in.net/js/owl-carousel/owl.carousel.css	(from http://masterpay.in.net/)
08:17:08	45080/45080	---M--	200	added ('OK')	text/css	etag:%22d84389dea61fd61:0%22	http://masterpay.in.net/js/tabs/assets/css/responsive-tabs.css	C:/My%20Web%20Sites/masterpay/masterpay.in.net/js/tabs/assets/css/responsive-tabs.css	(from http://masterpay.in.net/)
